qid,model,gold,pred,A,B,C,D,correct
8,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-26.90625,-26.265625,-26.234375,True
8,Qwen/Qwen2.5-7B-Instruct,B,B,-28.140625,0.0,-25.0,-23.5,True
8,Qwen/Qwen2.5-7B-Instruct,C,C,-27.78125,-28.921875,0.0,-24.9375,True
8,Qwen/Qwen2.5-7B-Instruct,D,D,-23.703125,-26.140625,-23.453125,0.0,True
9,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-24.265625,-24.203125,-25.015625,True
9,Qwen/Qwen2.5-7B-Instruct,B,B,-26.1875,0.0,-24.234375,-21.296875,True
9,Qwen/Qwen2.5-7B-Instruct,C,C,-26.109375,-27.875,0.0,-20.859375,True
9,Qwen/Qwen2.5-7B-Instruct,D,D,-25.375,-25.453125,-21.625,0.0,True
10,Qwen/Qwen2.5-7B-Instruct,A,D,-22.109375,-23.859375,-4.203125,-0.01506805419921875,False
10,Qwen/Qwen2.5-7B-Instruct,B,A,-9.5367431640625e-06,-24.328125,-24.84375,-11.5625,False
10,Qwen/Qwen2.5-7B-Instruct,C,D,-22.375,-2.23828125,-19.015625,-0.11279296875,False
10,Qwen/Qwen2.5-7B-Instruct,D,C,-25.5,-10.40625,-3.0279159545898438e-05,-19.046875,False
11,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-25.59375,-24.21875,-23.328125,True
11,Qwen/Qwen2.5-7B-Instruct,B,B,-25.296875,0.0,-23.046875,-23.09375,True
11,Qwen/Qwen2.5-7B-Instruct,C,C,-25.4375,-26.984375,0.0,-23.921875,True
11,Qwen/Qwen2.5-7B-Instruct,D,D,-21.5,-23.03125,-22.640625,0.0,True
12,Qwen/Qwen2.5-7B-Instruct,A,D,-1.048828125,-1.611328125,-13.3125,-0.798828125,False
12,Qwen/Qwen2.5-7B-Instruct,B,C,-20.21875,-22.90625,-2.384185791015625e-07,-15.328125,False
12,Qwen/Qwen2.5-7B-Instruct,C,D,-10.375,-19.59375,-17.140625,-3.123283386230469e-05,False
12,Qwen/Qwen2.5-7B-Instruct,D,A,-0.0297698974609375,-10.828125,-14.765625,-3.529296875,False
13,Qwen/Qwen2.5-7B-Instruct,A,D,-21.109375,-19.3125,-5.34765625,-0.00476837158203125,False
13,Qwen/Qwen2.5-7B-Instruct,B,A,-2.86102294921875e-06,-18.921875,-12.78125,-18.84375,False
13,Qwen/Qwen2.5-7B-Instruct,C,A,-1.2636184692382812e-05,-18.90625,-18.84375,-11.28125,False
13,Qwen/Qwen2.5-7B-Instruct,D,A,-0.072998046875,-15.6640625,-2.666015625,-6.98046875,False
14,Qwen/Qwen2.5-7B-Instruct,A,D,-24.765625,-22.984375,-19.21875,0.0,False
14,Qwen/Qwen2.5-7B-Instruct,B,D,-15.0,-23.53125,-22.34375,-3.5762786865234375e-07,False
14,Qwen/Qwen2.5-7B-Instruct,C,A,-1.0132789611816406e-05,-11.5,-21.09375,-17.984375,False
14,Qwen/Qwen2.5-7B-Instruct,D,C,-23.328125,-20.5,0.0,-21.40625,False
15,Qwen/Qwen2.5-7B-Instruct,A,C,-3.865234375,-23.546875,-0.0211944580078125,-23.125,False
15,Qwen/Qwen2.5-7B-Instruct,B,A,-0.1556396484375,-1.9365234375,-21.015625,-20.65625,False
15,Qwen/Qwen2.5-7B-Instruct,C,C,-6.9375,-22.96875,-0.0009703636169433594,-22.203125,True
15,Qwen/Qwen2.5-7B-Instruct,D,D,-11.28125,-22.90625,-22.015625,-1.2636184692382812e-05,True
16,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-22.609375,-24.875,-23.953125,True
16,Qwen/Qwen2.5-7B-Instruct,B,B,-24.734375,0.0,-23.296875,-19.890625,True
16,Qwen/Qwen2.5-7B-Instruct,C,C,-22.890625,-21.71875,0.0,-21.171875,True
16,Qwen/Qwen2.5-7B-Instruct,D,D,-21.765625,-22.53125,-20.03125,0.0,True
17,Qwen/Qwen2.5-7B-Instruct,A,B,-8.3125,-0.1905517578125,-11.46875,-1.7529296875,False
17,Qwen/Qwen2.5-7B-Instruct,B,A,-0.022552490234375,-5.9921875,-8.9453125,-3.9296875,False
17,Qwen/Qwen2.5-7B-Instruct,C,D,-21.5625,-15.796875,-18.453125,-1.1920928955078125e-07,False
17,Qwen/Qwen2.5-7B-Instruct,D,D,-16.125,-10.34375,-2.435546875,-0.0916748046875,True
18,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-26.015625,-25.765625,-24.125,True
18,Qwen/Qwen2.5-7B-Instruct,B,B,-23.65625,0.0,-25.90625,-23.375,True
18,Qwen/Qwen2.5-7B-Instruct,C,C,-23.140625,-27.078125,0.0,-24.875,True
18,Qwen/Qwen2.5-7B-Instruct,D,D,-23.5,-23.890625,-24.890625,0.0,True
19,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-27.96875,-26.296875,-25.984375,True
19,Qwen/Qwen2.5-7B-Instruct,B,B,-27.171875,0.0,-25.234375,-24.96875,True
19,Qwen/Qwen2.5-7B-Instruct,C,C,-26.625,-28.046875,0.0,-23.609375,True
19,Qwen/Qwen2.5-7B-Instruct,D,D,-21.140625,-25.25,-23.921875,0.0,True
20,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-25.125,-24.578125,-24.984375,True
20,Qwen/Qwen2.5-7B-Instruct,B,B,-25.53125,0.0,-22.359375,-22.25,True
20,Qwen/Qwen2.5-7B-Instruct,C,C,-24.5,-25.46875,0.0,-23.0625,True
20,Qwen/Qwen2.5-7B-Instruct,D,D,-22.703125,-23.78125,-22.21875,0.0,True
21,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-21.328125,-24.671875,-23.59375,True
21,Qwen/Qwen2.5-7B-Instruct,B,B,-21.046875,0.0,-23.1875,-21.078125,True
21,Qwen/Qwen2.5-7B-Instruct,C,C,-24.109375,-22.578125,0.0,-18.5625,True
21,Qwen/Qwen2.5-7B-Instruct,D,D,-20.078125,-22.484375,-23.4375,0.0,True
22,Qwen/Qwen2.5-7B-Instruct,A,A,-0.0005726814270019531,-18.6875,-7.46875,-13.0625,True
22,Qwen/Qwen2.5-7B-Instruct,B,B,-1.07421875,-0.41796875,-18.859375,-18.0625,True
22,Qwen/Qwen2.5-7B-Instruct,C,C,-1.2451171875,-17.890625,-0.33935546875,-18.46875,True
22,Qwen/Qwen2.5-7B-Instruct,D,A,-0.386962890625,-18.734375,-13.53125,-1.13671875,False
23,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-21.46875,-22.234375,-22.0625,True
23,Qwen/Qwen2.5-7B-Instruct,B,B,-22.765625,0.0,-19.5625,-19.4375,True
23,Qwen/Qwen2.5-7B-Instruct,C,C,-24.375,-24.46875,0.0,-22.90625,True
23,Qwen/Qwen2.5-7B-Instruct,D,D,-21.640625,-22.859375,-20.0,0.0,True
24,Qwen/Qwen2.5-7B-Instruct,A,B,-18.9375,-4.76837158203125e-07,-14.6875,-22.59375,False
24,Qwen/Qwen2.5-7B-Instruct,B,D,-17.109375,-1.6513671875,-7.80859375,-0.2135009765625,False
24,Qwen/Qwen2.5-7B-Instruct,C,A,-0.00036835670471191406,-7.90625,-16.875,-20.15625,False
24,Qwen/Qwen2.5-7B-Instruct,D,A,-0.00014770030975341797,-9.1875,-16.890625,-10.0,False
25,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-25.84375,-24.53125,-22.75,True
25,Qwen/Qwen2.5-7B-Instruct,B,B,-26.703125,0.0,-25.53125,-18.65625,True
25,Qwen/Qwen2.5-7B-Instruct,C,C,-24.3125,-27.53125,0.0,-20.796875,True
25,Qwen/Qwen2.5-7B-Instruct,D,D,-24.65625,-25.203125,-24.0,0.0,True
26,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-17.28125,-23.140625,-21.0625,True
26,Qwen/Qwen2.5-7B-Instruct,B,B,-20.984375,0.0,-22.5625,-23.265625,True
26,Qwen/Qwen2.5-7B-Instruct,C,C,-23.625,-19.6875,0.0,-21.765625,True
26,Qwen/Qwen2.5-7B-Instruct,D,D,-23.171875,-20.59375,-19.078125,0.0,True
27,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-24.28125,-19.453125,-24.25,True
27,Qwen/Qwen2.5-7B-Instruct,B,B,-17.03125,0.0,-24.6875,-24.046875,True
27,Qwen/Qwen2.5-7B-Instruct,C,C,-2.017578125,-18.890625,-0.1427001953125,-19.578125,True
27,Qwen/Qwen2.5-7B-Instruct,D,D,-7.25,-19.671875,-22.0625,-0.0007100105285644531,True
28,Qwen/Qwen2.5-7B-Instruct,A,C,-5.72265625,-3.412109375,-0.03692626953125,-16.3125,False
28,Qwen/Qwen2.5-7B-Instruct,B,D,-8.03125,-18.609375,-15.75,-0.00032520294189453125,False
28,Qwen/Qwen2.5-7B-Instruct,C,A,-1.8835067749023438e-05,-13.8125,-12.8125,-12.703125,False
28,Qwen/Qwen2.5-7B-Instruct,D,B,-20.296875,0.0,-21.203125,-19.671875,False
29,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-24.40625,-21.890625,-22.421875,True
29,Qwen/Qwen2.5-7B-Instruct,B,B,-24.03125,0.0,-21.828125,-18.09375,True
29,Qwen/Qwen2.5-7B-Instruct,C,C,-24.96875,-19.671875,0.0,-22.203125,True
29,Qwen/Qwen2.5-7B-Instruct,D,D,-17.296875,-22.484375,-18.765625,0.0,True
30,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-19.609375,-21.75,-22.375,True
30,Qwen/Qwen2.5-7B-Instruct,B,B,-22.953125,0.0,-20.921875,-21.9375,True
30,Qwen/Qwen2.5-7B-Instruct,C,C,-23.046875,-26.4375,0.0,-19.828125,True
30,Qwen/Qwen2.5-7B-Instruct,D,D,-23.390625,-22.765625,-15.28125,-2.384185791015625e-07,True
31,Qwen/Qwen2.5-7B-Instruct,A,D,-24.4375,-16.25,-14.5,-5.960464477539062e-07,False
31,Qwen/Qwen2.5-7B-Instruct,B,A,-2.276897430419922e-05,-20.4375,-10.6875,-20.15625,False
31,Qwen/Qwen2.5-7B-Instruct,C,B,-16.71875,0.0,-24.25,-23.546875,False
31,Qwen/Qwen2.5-7B-Instruct,D,A,-0.0005044937133789062,-15.921875,-7.59375,-13.671875,False
32,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-22.78125,-22.921875,-20.296875,True
32,Qwen/Qwen2.5-7B-Instruct,B,B,-21.203125,0.0,-21.4375,-21.765625,True
32,Qwen/Qwen2.5-7B-Instruct,C,C,-22.1875,-25.71875,0.0,-21.21875,True
32,Qwen/Qwen2.5-7B-Instruct,D,D,-19.71875,-22.796875,-19.78125,0.0,True
33,Qwen/Qwen2.5-7B-Instruct,A,B,-22.78125,0.0,-17.46875,-16.75,False
33,Qwen/Qwen2.5-7B-Instruct,B,D,-20.6875,-28.0625,-22.5625,0.0,False
33,Qwen/Qwen2.5-7B-Instruct,C,A,-3.337860107421875e-06,-12.625,-21.34375,-17.671875,False
33,Qwen/Qwen2.5-7B-Instruct,D,C,-27.03125,-19.59375,0.0,-22.921875,False
34,Qwen/Qwen2.5-7B-Instruct,A,B,-7.0234375,-0.1170654296875,-13.7890625,-2.2109375,False
34,Qwen/Qwen2.5-7B-Instruct,B,B,-7.4375,-0.0008263587951660156,-8.34375,-16.609375,True
34,Qwen/Qwen2.5-7B-Instruct,C,C,-8.34375,-6.00390625,-0.002777099609375,-9.65625,True
34,Qwen/Qwen2.5-7B-Instruct,D,D,-3.447265625,-2.353515625,-8.8515625,-0.1357421875,True
35,Qwen/Qwen2.5-7B-Instruct,A,C,-12.7734375,-5.25390625,-0.00524139404296875,-11.9765625,False
35,Qwen/Qwen2.5-7B-Instruct,B,A,-0.00010025501251220703,-9.34375,-15.953125,-11.28125,False
35,Qwen/Qwen2.5-7B-Instruct,C,C,-6.79296875,-4.41796875,-0.01324462890625,-15.25,True
35,Qwen/Qwen2.5-7B-Instruct,D,D,-4.86328125,-11.34375,-3.17578125,-0.05078125,True
36,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-20.234375,-25.5625,-23.484375,True
36,Qwen/Qwen2.5-7B-Instruct,B,B,-23.953125,0.0,-23.453125,-23.359375,True
36,Qwen/Qwen2.5-7B-Instruct,C,C,-24.453125,-20.15625,0.0,-22.90625,True
36,Qwen/Qwen2.5-7B-Instruct,D,D,-23.890625,-23.0,-19.65625,0.0,True
37,Qwen/Qwen2.5-7B-Instruct,A,C,-16.15625,-2.783203125,-0.06463623046875,-7.16015625,False
37,Qwen/Qwen2.5-7B-Instruct,B,C,-7.47265625,-18.84375,-0.53662109375,-0.88037109375,False
37,Qwen/Qwen2.5-7B-Instruct,C,A,-0.02294921875,-5.6171875,-18.125,-3.9609375,False
37,Qwen/Qwen2.5-7B-Instruct,D,B,-14.265625,-0.044342041015625,-3.138671875,-18.375,False
38,Qwen/Qwen2.5-7B-Instruct,A,A,-7.152557373046875e-07,-24.59375,-21.75,-14.21875,True
38,Qwen/Qwen2.5-7B-Instruct,B,B,-16.46875,-1.1920928955078125e-07,-21.546875,-20.296875,True
38,Qwen/Qwen2.5-7B-Instruct,C,B,-20.984375,-0.0013256072998046875,-6.625,-18.9375,False
38,Qwen/Qwen2.5-7B-Instruct,D,D,-17.046875,-19.21875,-12.796875,-2.86102294921875e-06,True
39,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-24.328125,-23.875,-23.421875,True
39,Qwen/Qwen2.5-7B-Instruct,B,B,-23.109375,0.0,-22.8125,-21.78125,True
39,Qwen/Qwen2.5-7B-Instruct,C,C,-24.6875,-25.59375,0.0,-21.828125,True
39,Qwen/Qwen2.5-7B-Instruct,D,D,-21.453125,-22.578125,-18.671875,0.0,True
40,Qwen/Qwen2.5-7B-Instruct,A,B,-18.125,0.0,-21.6875,-22.59375,False
40,Qwen/Qwen2.5-7B-Instruct,B,A,0.0,-17.796875,-26.328125,-24.953125,False
40,Qwen/Qwen2.5-7B-Instruct,C,D,-23.421875,-15.125,-7.65625,-0.00047326087951660156,False
40,Qwen/Qwen2.5-7B-Instruct,D,C,-22.9375,-17.765625,-0.00592803955078125,-5.1328125,False
41,Qwen/Qwen2.5-7B-Instruct,A,D,-7.75,-18.109375,-16.875,-0.00043082237243652344,False
41,Qwen/Qwen2.5-7B-Instruct,B,B,-11.4375,-1.0728836059570312e-05,-22.703125,-17.28125,True
41,Qwen/Qwen2.5-7B-Instruct,C,C,-16.4375,-8.625,-0.00017976760864257812,-15.953125,True
41,Qwen/Qwen2.5-7B-Instruct,D,D,-16.9375,-20.53125,-15.21875,-2.384185791015625e-07,True
42,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-21.46875,-21.890625,-22.75,True
42,Qwen/Qwen2.5-7B-Instruct,B,B,-26.40625,0.0,-20.53125,-20.453125,True
42,Qwen/Qwen2.5-7B-Instruct,C,C,-22.609375,-24.21875,0.0,-23.484375,True
42,Qwen/Qwen2.5-7B-Instruct,D,D,-22.75,-23.3125,-21.0,0.0,True
43,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-22.375,-22.328125,-26.140625,True
43,Qwen/Qwen2.5-7B-Instruct,B,B,-19.015625,-0.00019109249114990234,-24.421875,-8.5625,True
43,Qwen/Qwen2.5-7B-Instruct,C,C,-17.515625,-26.390625,0.0,-25.4375,True
43,Qwen/Qwen2.5-7B-Instruct,D,D,-19.359375,-24.421875,-24.90625,0.0,True
44,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-19.5,-22.5,-24.578125,True
44,Qwen/Qwen2.5-7B-Instruct,B,B,-17.046875,-5.960464477539062e-07,-14.53125,-15.75,True
44,Qwen/Qwen2.5-7B-Instruct,C,C,-12.78125,-16.828125,-4.649162292480469e-06,-13.21875,True
44,Qwen/Qwen2.5-7B-Instruct,D,D,-16.578125,-25.109375,-14.53125,-5.960464477539062e-07,True
45,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-25.09375,-22.953125,-24.703125,True
45,Qwen/Qwen2.5-7B-Instruct,B,B,-25.046875,0.0,-23.140625,-22.453125,True
45,Qwen/Qwen2.5-7B-Instruct,C,C,-24.546875,-25.75,0.0,-21.359375,True
45,Qwen/Qwen2.5-7B-Instruct,D,D,-21.390625,-22.9375,-21.25,0.0,True
46,Qwen/Qwen2.5-7B-Instruct,A,B,-11.0546875,-0.14697265625,-10.9296875,-1.990234375,False
46,Qwen/Qwen2.5-7B-Instruct,B,A,-0.0032787322998046875,-21.9375,-20.59375,-5.72265625,False
46,Qwen/Qwen2.5-7B-Instruct,C,D,-4.51171875,-22.234375,-18.96875,-0.01104736328125,False
46,Qwen/Qwen2.5-7B-Instruct,D,A,-0.00630950927734375,-21.984375,-5.0703125,-16.546875,False
47,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-21.53125,-23.3125,-24.421875,True
47,Qwen/Qwen2.5-7B-Instruct,B,B,-23.359375,0.0,-22.484375,-22.78125,True
47,Qwen/Qwen2.5-7B-Instruct,C,C,-22.40625,-24.9375,0.0,-22.203125,True
47,Qwen/Qwen2.5-7B-Instruct,D,D,-21.4375,-24.234375,-19.5625,0.0,True
48,Qwen/Qwen2.5-7B-Instruct,A,B,-0.81396484375,-0.61083984375,-6.96875,-5.25,False
48,Qwen/Qwen2.5-7B-Instruct,B,A,-0.003780364990234375,-9.921875,-12.65625,-5.59765625,False
48,Qwen/Qwen2.5-7B-Instruct,C,A,-0.00038242340087890625,-12.015625,-8.71875,-10.421875,False
48,Qwen/Qwen2.5-7B-Instruct,D,A,-6.306171417236328e-05,-13.28125,-10.078125,-11.0,False
49,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-24.4375,-23.65625,-21.828125,True
49,Qwen/Qwen2.5-7B-Instruct,B,B,-25.453125,0.0,-23.875,-21.71875,True
49,Qwen/Qwen2.5-7B-Instruct,C,C,-26.765625,-28.15625,0.0,-22.421875,True
49,Qwen/Qwen2.5-7B-Instruct,D,D,-23.421875,-23.9375,-21.0,0.0,True
50,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-25.96875,-24.8125,-25.703125,True
50,Qwen/Qwen2.5-7B-Instruct,B,B,-21.28125,0.0,-22.96875,-21.453125,True
50,Qwen/Qwen2.5-7B-Instruct,C,C,-24.21875,-22.25,0.0,-20.296875,True
50,Qwen/Qwen2.5-7B-Instruct,D,D,-21.09375,-18.75,-22.25,0.0,True
51,Qwen/Qwen2.5-7B-Instruct,A,B,-3.98828125,-0.0192413330078125,-13.5,-7.55078125,False
51,Qwen/Qwen2.5-7B-Instruct,B,B,-14.75,-0.00013315677642822266,-9.53125,-9.71875,True
51,Qwen/Qwen2.5-7B-Instruct,C,C,-17.609375,-13.78125,-1.0728836059570312e-06,-19.328125,True
51,Qwen/Qwen2.5-7B-Instruct,D,B,-13.859375,-0.0175933837890625,-14.640625,-4.05078125,False
52,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-25.609375,-24.359375,-24.53125,True
52,Qwen/Qwen2.5-7B-Instruct,B,B,-25.796875,0.0,-23.984375,-22.375,True
52,Qwen/Qwen2.5-7B-Instruct,C,C,-26.3125,-27.734375,0.0,-22.515625,True
52,Qwen/Qwen2.5-7B-Instruct,D,D,-23.640625,-24.03125,-21.015625,0.0,True
53,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-24.875,-22.9375,-24.09375,True
53,Qwen/Qwen2.5-7B-Instruct,B,B,-26.703125,0.0,-22.171875,-23.484375,True
53,Qwen/Qwen2.5-7B-Instruct,C,C,-27.609375,-28.203125,0.0,-18.578125,True
53,Qwen/Qwen2.5-7B-Instruct,D,D,-21.46875,-25.46875,-22.59375,0.0,True
54,Qwen/Qwen2.5-7B-Instruct,A,A,-1.1920928955078125e-07,-16.28125,-23.25,-23.0,True
54,Qwen/Qwen2.5-7B-Instruct,B,B,-22.515625,0.0,-25.25,-24.125,True
54,Qwen/Qwen2.5-7B-Instruct,C,C,-22.640625,-25.359375,0.0,-22.328125,True
54,Qwen/Qwen2.5-7B-Instruct,D,D,-18.921875,-24.609375,-19.84375,0.0,True
55,Qwen/Qwen2.5-7B-Instruct,A,C,-17.046875,-21.625,0.0,-22.484375,False
55,Qwen/Qwen2.5-7B-Instruct,B,D,-10.75,-9.59375,-21.046875,-8.96453857421875e-05,False
55,Qwen/Qwen2.5-7B-Instruct,C,C,-14.0390625,-3.92578125,-0.0199127197265625,-18.96875,True
55,Qwen/Qwen2.5-7B-Instruct,D,A,-0.0006470680236816406,-19.859375,-14.046875,-7.34375,False
56,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-25.015625,-24.578125,-24.375,True
56,Qwen/Qwen2.5-7B-Instruct,B,B,-26.328125,0.0,-23.3125,-22.71875,True
56,Qwen/Qwen2.5-7B-Instruct,C,C,-26.609375,-26.9375,0.0,-23.015625,True
56,Qwen/Qwen2.5-7B-Instruct,D,D,-24.484375,-24.859375,-22.546875,0.0,True
57,Qwen/Qwen2.5-7B-Instruct,A,A,-0.033660888671875,-15.71875,-10.6875,-3.408203125,True
57,Qwen/Qwen2.5-7B-Instruct,B,B,-16.421875,-0.044342041015625,-3.138671875,-13.3125,True
57,Qwen/Qwen2.5-7B-Instruct,C,D,-16.25,-12.28125,-2.265625,-0.10955810546875,False
57,Qwen/Qwen2.5-7B-Instruct,D,B,-12.5390625,-0.1346435546875,-19.5625,-2.072265625,False
58,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-24.015625,-23.703125,-22.375,True
58,Qwen/Qwen2.5-7B-Instruct,B,B,-17.921875,0.0,-18.0625,-19.796875,True
58,Qwen/Qwen2.5-7B-Instruct,C,C,-15.1875,-18.90625,-2.384185791015625e-07,-21.53125,True
58,Qwen/Qwen2.5-7B-Instruct,D,D,-15.359375,-13.6875,-18.96875,-1.3113021850585938e-06,True
59,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-23.734375,-21.875,-25.34375,True
59,Qwen/Qwen2.5-7B-Instruct,B,B,-27.46875,0.0,-22.984375,-23.671875,True
59,Qwen/Qwen2.5-7B-Instruct,C,C,-26.515625,-29.453125,0.0,-21.609375,True
59,Qwen/Qwen2.5-7B-Instruct,D,D,-23.734375,-27.984375,-20.296875,0.0,True
60,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-19.921875,-24.921875,-25.421875,True
60,Qwen/Qwen2.5-7B-Instruct,B,B,-25.109375,0.0,-22.0625,-22.265625,True
60,Qwen/Qwen2.5-7B-Instruct,C,C,-21.578125,-23.234375,0.0,-23.625,True
60,Qwen/Qwen2.5-7B-Instruct,D,D,-18.59375,-20.484375,-22.359375,0.0,True
61,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-23.03125,-21.296875,-24.21875,True
61,Qwen/Qwen2.5-7B-Instruct,B,B,-23.21875,0.0,-16.953125,-21.09375,True
61,Qwen/Qwen2.5-7B-Instruct,C,C,-24.796875,-20.1875,0.0,-21.453125,True
61,Qwen/Qwen2.5-7B-Instruct,D,D,-23.796875,-21.84375,-19.359375,0.0,True
62,Qwen/Qwen2.5-7B-Instruct,A,B,-16.03125,-0.041717529296875,-16.953125,-3.197265625,False
62,Qwen/Qwen2.5-7B-Instruct,B,D,-11.5546875,-14.3359375,-1.2900390625,-0.32177734375,False
62,Qwen/Qwen2.5-7B-Instruct,C,B,-4.60546875,-0.01006317138671875,-16.890625,-17.203125,False
62,Qwen/Qwen2.5-7B-Instruct,D,B,-12.8359375,-0.1002197265625,-2.349609375,-12.8984375,False
63,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-16.71875,-20.078125,-17.9375,True
63,Qwen/Qwen2.5-7B-Instruct,B,B,-21.03125,0.0,-20.53125,-17.921875,True
63,Qwen/Qwen2.5-7B-Instruct,C,C,-20.046875,-10.5625,-2.586841583251953e-05,-20.328125,True
63,Qwen/Qwen2.5-7B-Instruct,D,D,-15.140625,-19.453125,-17.3125,-3.5762786865234375e-07,True
64,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-24.109375,-23.59375,-24.125,True
64,Qwen/Qwen2.5-7B-Instruct,B,B,-24.046875,0.0,-23.390625,-22.5625,True
64,Qwen/Qwen2.5-7B-Instruct,C,C,-25.09375,-27.375,0.0,-22.5625,True
64,Qwen/Qwen2.5-7B-Instruct,D,D,-19.71875,-24.46875,-22.21875,0.0,True
